Amazon	4.793120085394279	6421039
Kindle	4.726878161448852	1389790
J.	4.731222663822243	821256
John	4.764164362500491	738879
David	4.759498133883904	629650
Michael	4.754543554119028	621870
M.	4.74058786343039	564723
Robert	4.768192713465607	518573
D.	4.747329521684563	501970
C.	4.743060182554703	489278
S.	4.748645248895165	480162
James	4.76497327716891	476933
R.	4.734953417283567	424299
Mary	4.796628849901586	411017
A.	4.729909156179573	401128
Linda	4.811526517378082	372567
K.	4.734275472573948	348993
L.	4.751533621647141	330427
Richard	4.7673459964701985	329197
Mark	4.759503614910331	319510
Mike	4.76797419722051	316245
William	4.766375008898582	309038
Chris	4.7644885271543895	301756
Susan	4.802002419618455	296741
Jennifer	4.767130038043778	290192
T.	4.741615435906566	286449
Lisa	4.7875015529879485	281715
Karen	4.796995572307457	274861
B.	4.742373468065049	271552
Paul	4.749933123915652	261678
Brian	4.753909424075087	241212
The	4.691146923224424	239894
Barbara	4.797968587382267	231563
Nancy	4.808373561758194	220408
Steve	4.764357996509885	219477
Daniel	4.763960426919602	218027
Thomas	4.7705198151974555	215365
Patricia	4.806785441011156	211718
Michelle	4.776082548636931	210591
E.	4.725058475575573	206924
P.	4.740039922874058	205897
Carol	4.800783788276421	198523
Sarah	4.758290896794675	198139
Scott	4.758403659674605	197176
Jim	4.760400534180982	196937
Kevin	4.757448645981124	194532
Donna	4.810974219753803	193016
Joe	4.771463860119219	191077
Laura	4.780383066454445	187226
Elizabeth	4.786000288675886	187061
Jessica	4.768311313852907	185896
J	4.757462646079059	184318
Jason	4.762694045174538	182625
G.	4.734329142512145	178883
Charles	4.770044038054258	178482
Amy	4.763612202903264	178351
Eric	4.747960958857685	177044
Bill	4.757062737311458	172242
Joseph	4.769342896135195	172195
Gary	4.776039330587803	171673
Amanda	4.770573492901037	170377
Sharon	4.804483718289696	162053
Tom	4.759073826676489	160186
Melissa	4.7726471049741095	159325
Jeff	4.765881463752598	158770
Bob	4.768057439069214	157802
Kathy	4.802647834226983	157034
Steven	4.760799928532231	156714
Andrew	4.74496438496183	156535
Heather	4.768279948834417	153228
Sandra	4.80189271149221	153008
Dan	4.762705758284371	152667
Dave	4.755422196932605	151138
Julie	4.781065524889273	149241
Stephanie	4.776676987970419	148883
Kim	4.780407591114945	148384
Diane	4.796409441483896	145994
George	4.775442210698302	140770
A	4.7268436452170945	140469
Stephen	4.7500234987889085	138305
Larry	4.776046716615249	136140
Kelly	4.770788440534877	135508
Rebecca	4.775166843845972	135456
Christopher	4.748512890761683	134321
Deborah	4.808169840280838	131606
Ryan	4.762387966643286	128310
Alex	4.769273394209007	128130
Matthew	4.747955146150358	127882
Anthony	4.772144512954757	126826
Peter	4.730319526627219	126750
Matt	4.755006794357448	123632
Ashley	4.7761118625837256	122722
Tim	4.758667355626092	121923
Angela	4.778464875246279	120798
Frank	4.774759137675144	119259
Christine	4.785376485240163	118836
Nicole	4.766088951731028	118109
Judy	4.804079246178355	118012
N.	4.728092805376873	117838
W.	4.734463325006182	117287
